# latitude: 0.0, longitude: -167.302, year: 2023, month: 5, day: 15, cruise: 13239, uid: 22288039
z,z_level_qc,z_unc,t,t_level_qc,t_unc,s,s_level_qc,s_unc,oxygen,phosphate,silicate,pH,p
2751.0,0,,1.73,0,,34.67,0,,,,,,
2761.0,0,,1.72,0,,34.67,0,,,,,,
2771.0,0,,1.71,0,,34.67,0,,,,,,
2781.0,0,,1.7,0,,34.67,0,,,,,,
2791.0,0,,1.7,0,,34.67,0,,,,,,
2801.0,0,,1.69,0,,34.67,0,,,,,,
2810.0,0,,1.69,0,,34.67,0,,,,,,
2820.0,0,,1.67,0,,34.67,0,,,,,,
2830.0,0,,1.67,0,,34.67,0,,,,,,
2840.0,0,,1.67,0,,34.67,0,,,,,,
2850.0,0,,1.67,0,,34.67,0,,,,,,
2859.0,0,,1.66,0,,34.67,0,,,,,,
2869.0,0,,1.66,0,,34.67,0,,,,,,
2879.0,0,,1.65,0,,34.67,0,,,,,,
2889.0,0,,1.65,0,,34.67,0,,,,,,
2899.0,0,,1.65,0,,34.67,0,,,,,,
2908.0,0,,1.65,0,,34.67,0,,,,,,
2918.0,0,,1.65,0,,34.67,0,,,,,,
2928.0,0,,1.65,0,,34.67,0,,,,,,
2938.0,0,,1.65,0,,34.68,0,,,,,,
2948.0,0,,1.65,0,,34.68,0,,,,,,
2958.0,0,,1.65,0,,34.68,0,,,,,,
2967.0,0,,1.65,0,,34.68,0,,,,,,
2977.0,0,,1.65,0,,34.68,0,,,,,,
2987.0,0,,1.65,0,,34.68,0,,,,,,
2997.0,0,,1.65,0,,34.68,0,,,,,,
3007.0,0,,1.65,0,,34.68,0,,,,,,
3016.0,0,,1.65,0,,34.68,0,,,,,,
3026.0,0,,1.64,0,,34.68,0,,,,,,
3036.0,0,,1.64,0,,34.68,0,,,,,,
3046.0,0,,1.64,0,,34.68,0,,,,,,
3056.0,0,,1.64,0,,34.68,0,,,,,,
3065.0,0,,1.63,0,,34.68,0,,,,,,
3075.0,0,,1.62,0,,34.68,0,,,,,,
3085.0,0,,1.62,0,,34.68,0,,,,,,
3095.0,0,,1.61,0,,34.68,0,,,,,,
3105.0,0,,1.61,0,,34.68,0,,,,,,
3114.0,0,,1.61,0,,34.68,0,,,,,,
3124.0,0,,1.61,0,,34.68,0,,,,,,
3134.0,0,,1.61,0,,34.68,0,,,,,,
3144.0,0,,1.61,0,,34.68,0,,,,,,
3154.0,0,,1.61,0,,34.68,0,,,,,,
3163.0,0,,1.6,0,,34.68,0,,,,,,
3173.0,0,,1.6,0,,34.68,0,,,,,,
3183.0,0,,1.59,0,,34.68,0,,,,,,
3193.0,0,,1.59,0,,34.68,0,,,,,,
3203.0,0,,1.59,0,,34.68,0,,,,,,
3212.0,0,,1.59,0,,34.68,0,,,,,,
3222.0,0,,1.59,0,,34.68,0,,,,,,
3232.0,0,,1.59,0,,34.68,0,,,,,,
3242.0,0,,1.59,0,,34.68,0,,,,,,
3252.0,0,,1.59,0,,34.68,0,,,,,,
3261.0,0,,1.59,0,,34.68,0,,,,,,
3271.0,0,,1.59,0,,34.68,0,,,,,,
3281.0,0,,1.59,0,,34.68,0,,,,,,
3291.0,0,,1.58,0,,34.68,0,,,,,,
3300.0,0,,1.58,0,,34.68,0,,,,,,
3310.0,0,,1.58,0,,34.68,0,,,,,,
3320.0,0,,1.58,0,,34.68,0,,,,,,
3330.0,0,,1.58,0,,34.68,0,,,,,,
3340.0,0,,1.58,0,,34.68,0,,,,,,
3349.0,0,,1.57,0,,34.68,0,,,,,,
3359.0,0,,1.57,0,,34.68,0,,,,,,
3369.0,0,,1.57,0,,34.68,0,,,,,,
3379.0,0,,1.56,0,,34.68,0,,,,,,
3389.0,0,,1.56,0,,34.68,0,,,,,,
3398.0,0,,1.56,0,,34.68,0,,,,,,
3408.0,0,,1.56,0,,34.68,0,,,,,,
3418.0,0,,1.56,0,,34.68,0,,,,,,
3428.0,0,,1.55,0,,34.68,0,,,,,,
3438.0,0,,1.55,0,,34.68,0,,,,,,
3447.0,0,,1.55,0,,34.68,0,,,,,,
3457.0,0,,1.55,0,,34.68,0,,,,,,
3467.0,0,,1.55,0,,34.68,0,,,,,,
3477.0,0,,1.55,0,,34.68,0,,,,,,
3486.0,0,,1.54,0,,34.68,0,,,,,,
3496.0,0,,1.54,0,,34.68,0,,,,,,
3506.0,0,,1.53,0,,34.68,0,,,,,,
3516.0,0,,1.53,0,,34.68,0,,,,,,
3526.0,0,,1.53,0,,34.68,0,,,,,,
3535.0,0,,1.53,0,,34.69,0,,,,,,
3545.0,0,,1.53,0,,34.69,0,,,,,,
3555.0,0,,1.53,0,,34.69,0,,,,,,
3565.0,0,,1.52,0,,34.69,0,,,,,,
3574.0,0,,1.52,0,,34.69,0,,,,,,
3584.0,0,,1.51,0,,34.69,0,,,,,,
3594.0,0,,1.51,0,,34.69,0,,,,,,
3604.0,0,,1.5,0,,34.69,0,,,,,,
3614.0,0,,1.5,0,,34.69,0,,,,,,
3623.0,0,,1.5,0,,34.69,0,,,,,,
3633.0,0,,1.5,0,,34.69,0,,,,,,
3643.0,0,,1.49,0,,34.69,0,,,,,,
3653.0,0,,1.49,0,,34.69,0,,,,,,
3662.0,0,,1.49,0,,34.69,0,,,,,,
3672.0,0,,1.48,0,,34.69,0,,,,,,
3682.0,0,,1.48,0,,34.69,0,,,,,,
3692.0,0,,1.48,0,,34.69,0,,,,,,
3702.0,0,,1.48,0,,34.69,0,,,,,,
3711.0,0,,1.48,0,,34.69,0,,,,,,
3721.0,0,,1.48,0,,34.69,0,,,,,,
3731.0,0,,1.47,0,,34.69,0,,,,,,
3741.0,0,,1.46,0,,34.69,0,,,,,,
3750.0,0,,1.46,0,,34.69,0,,,,,,
3760.0,0,,1.46,0,,34.69,0,,,,,,
3770.0,0,,1.46,0,,34.69,0,,,,,,
3780.0,0,,1.46,0,,34.69,0,,,,,,
3790.0,0,,1.46,0,,34.69,0,,,,,,
3799.0,0,,1.45,0,,34.69,0,,,,,,
3809.0,0,,1.45,0,,34.69,0,,,,,,
3819.0,0,,1.45,0,,34.69,0,,,,,,
3829.0,0,,1.44,0,,34.69,0,,,,,,
3838.0,0,,1.44,0,,34.69,0,,,,,,
3848.0,0,,1.44,0,,34.69,0,,,,,,
3858.0,0,,1.44,0,,34.69,0,,,,,,
3868.0,0,,1.44,0,,34.69,0,,,,,,
3877.0,0,,1.44,0,,34.69,0,,,,,,
3887.0,0,,1.43,0,,34.69,0,,,,,,
3897.0,0,,1.43,0,,34.69,0,,,,,,
3907.0,0,,1.43,0,,34.69,0,,,,,,
3916.0,0,,1.43,0,,34.69,0,,,,,,
3926.0,0,,1.43,0,,34.69,0,,,,,,
3936.0,0,,1.43,0,,34.69,0,,,,,,
3946.0,0,,1.43,0,,34.69,0,,,,,,
3956.0,0,,1.43,0,,34.69,0,,,,,,
3965.0,0,,1.42,0,,34.69,0,,,,,,
3975.0,0,,1.42,0,,34.69,0,,,,,,
3985.0,0,,1.42,0,,34.69,0,,,,,,
