# Nova Canton Expedition Leg 4
# Station: NC4_MA4_5900
# Latitude: -1.345
# Longitude: -169.113
# Date Collected: 2024-05-12T00:00:00.000000000
# CTD Serial Number: NA
# name 0 = Latitude
# name 1 = Longitude
# name 2 = p: Pressure [db]
# name 3 = z: Depth [m]
# name 4 = tnc90C: Temperature [ITS-90 deg C]
lat,lon,p,z,tnc90C
-1.345,-169.113,16.1,    15.937459419587444,    29.07606838089744
-1.345,-169.113,16.3,    16.12097720597245,    29.076239721857082
-1.345,-169.113,16.5,    16.30762768083201,    29.076305247348543
-1.345,-169.113,16.700000000000003,    16.57820226511695,    29.07619514056115
-1.345,-169.113,16.9,    16.766056116008503,    29.076347561873124
-1.345,-169.113,17.1,    16.958599589622786,    29.076661449882693
-1.345,-169.113,17.3,    17.18250800695007,    29.07701354759853
-1.345,-169.113,17.5,    17.436785126864727,    29.076997350236415
-1.345,-169.113,17.700000000000003,    17.57613342613174,    29.076638218460232
-1.345,-169.113,17.9,    17.756986585375138,    29.076349183291335
-1.345,-169.113,18.1,    17.89164470594407,    29.076467232398862
-1.345,-169.113,18.3,    18.130576136257385,    29.07677470079865
